Disease,Cure name
Pereskia aculeata,Activated charcoal (for poisoning)
Phalaenopsis japonica,"None (skin irritation may occur, but no specific treatment is necessary)"
Phaulothamnus spinescens,Activated charcoal (for poisoning)
Phaius tancarvilleae,Activated charcoal (for poisoning)
Prunus laurocerasus,Activated charcoal (for poisoning)
Rhamnus cathartica,Activated charcoal (for poisoning)
Rhododendron ferrugineum,Activated charcoal (for poisoning)
Rhododendron hippophaeoides,Activated charcoal (for poisoning)
Rhododendron tomentosum,Activated charcoal (for poisoning)
Rhododendron tsusiophyllum,Activated charcoal (for poisoning)
Rosa spp. (various species),"None (skin irritation may occur, but no specific treatment is necessary)"
Ruscus aculeatus,Activated charcoal (for poisoning)
Saxifraga spp. (various species),Activated charcoal (for poisoning)
Schlumbergera truncata,Activated charcoal (for poisoning)
Sisymbrium irio,Activated charcoal (for poisoning)
Spartium junceum,Activated charcoal (for poisoning)
Syzygium spp. (various species),Activated charcoal (for poisoning)
Thuja spp. (various species),Activated charcoal (for poisoning)
Thujopsis dolabrata,Activated charcoal (for poisoning)
Tigridia pavonia,Activated charcoal (for poisoning)
Verbascum thapsus,"Anti-inflammatory compounds like Verbascoside, Harpagoside"
Verbena rigida,"No specific medicine compound, but can cause allergic reactions"
Human respiratory syncytial virus A,"Ribavirin, Palivizumab"
Measles virus,"Vitamin A, Ribavirin"
Human parainfluenza 1 virus,"Ribavirin, Oseltamivir"
Human parainfluenza 4b virus,"Ribavirin, Oseltamivir"
Influenza C virus,"Oseltamivir, Zanamivir"
Lymphocystis disease virus 1,"No specific medicine compound, supportive care only"
Rana tigrina ranavirus,"No specific medicine compound, supportive care only"
Suid herpesvirus 1,"Acyclovir, Valacyclovir"
Yersinia pestis,"Streptomycin, Gentamicin, Ciprofloxacin"
Klebsiella pneumoniae,"Ciprofloxacin, Ceftriaxone, Amikacin"
Klebsiella variicola,"Ciprofloxacin, Ceftriaxone, Amikacin"
Trichophyton tonsurans,"Terbinafine, Itraconazole, Fluconazole"
Erwinia amylovora,"No specific medicine compound, antibiotic treatment not recommended"
Pseudomonas veronii,"Ciprofloxacin, Ceftriaxone, Amikacin"
Shewanella colwelliana,"Ciprofloxacin, Ceftriaxone, Amikacin"
Trichophyton soudanense,"Terbinafine, Itraconazole, Fluconazole"
Trichophyton violaceum,"Terbinafine, Itraconazole, Fluconazole"
Leptospira meyeri,"Penicillin G, Doxycycline, Ciprofloxacin"
Erwinia pyrifoliae,"No specific medicine compound, antibiotic treatment not recommended"
Streptomyces spectabilis,"No specific medicine compound, antibiotic treatment not recommended"
Brevundimonas diminuta,"No specific medicine compound, antibiotic treatment not recommended"
Comamonas testosteroni,"No specific medicine compound, antibiotic treatment not recommended"
Halomonas anticariensis,"No specific medicine compound, antibiotic treatment not recommended"
Trichuris trichiura,"Albendazole, Mebendazole"
Trichinella spiralis,"Albendazole, Mebendazole"
Legionella longbeachae,"Azithromycin, Clarithromycin, Erythromycin"
Aspergillus spp. (various strains),"Voriconazole, Itraconazole, Amphotericin B"
Veillonella parvula,"Metronidazole, Clindamycin"
Fusarium oxysporum,"Voriconazole, Itraconazole, Amphotericin B"
Mycobacterium sp. (strain JC1),"Isoniazid, Rifampicin, Ethambutol"
Chlamydia muridarum,"Azithromycin, Doxycycline, Erythromycin"
Moloney murine sarcoma virus,"No specific medicine compound, treatment focused on supportive care"
Tomato bushy stunt virus,"No specific medicine compound, treatment focused on supportive care"
Mycolicibacterium austroafricanum,"Isoniazid, Rifampicin, Ethambutol"
Plasmodium falciparum,"Artemisinin, Chloroquine, Quinine, Mefloquine"
Chlamydia muridarum,"Azithromycin, Doxycycline, Erythromycin"
Plasmodium falciparum,"Artemisinin, Chloroquine, Mefloquine"
Tomato bushy stunt virus,"No specific medicine compound, supportive care"
Apple stem grooving virus,"No specific medicine compound, supportive care"
Mycolicibacterium austroafricanum,"Isoniazid, Rifampicin, Ethambutol"
Streptomyces coelicolor,"No specific medicine compound, supportive care"
Bacillus sp. (strain HIL-Y85/54728),"No specific medicine compound, supportive care"
Plasmodium falciparum,"Artemisinin, Chloroquine, Mefloquine"
Cellulomonas flavigena,"No specific medicine compound, supportive care"
Haemophilus parahaemolyticus,"Azithromycin, Ciprofloxacin, Amoxicillin"
Haemophilus aegyptius,"Azithromycin, Ciprofloxacin, Amoxicillin"
Cronobacter sakazakii,"Gentamicin, Ciprofloxacin, Ampicillin"
Salmonella infantis,"Ciprofloxacin, Azithromycin, Ampicillin"
Streptococcus cristatus,"Penicillin, Amoxicillin, Clindamycin"
Spiroplasma monobiae,"No specific medicine compound, supportive care"
Vibrio sp. (strain 343),"Doxycycline, Ciprofloxacin, Azithromycin"
Xanthomonas campestris pv. cyanopsidis,"Copper-based fungicides, Streptomycin"
Xanthomonas campestris pv. amaranthicola,"Copper-based fungicides, Streptomycin"
Xanthomonas vasicola,"Copper-based fungicides, Streptomycin"
Enterococcus mundtii,"Vancomycin, Linezolid, Daptomycin"
Microcystis viridis,"No specific medicine compound, supportive care"
Bean common mosaic necrosis virus,"No specific medicine compound, supportive care"
Beet mosaic virus,"No specific medicine compound, supportive care"
Citrus leprosis virus C,"No specific medicine compound, supportive care"
Groundnut rosette virus,"No specific medicine compound, supportive care"
Lettuce mosaic virus,"No specific medicine compound, supportive care"
Plum pox potyvirus,"No specific medicine compound, supportive care"
Papaya ringspot virus,"No specific medicine compound, supportive care"
Pea seed-borne mosaic virus,"No specific medicine compound, supportive care"
Potato virus A,"No specific medicine compound, supportive care"
Tobacco etch virus,"No specific medicine compound, supportive care"
Tomato bushy stunt virus,"No specific medicine compound, supportive care"
Tobacco vein mottling virus,"No specific medicine compound, supportive care"
Zucchini yellow mosaic virus,"No specific medicine compound, supportive care"
Avian myeloblastosis virus,"No specific medicine compound, supportive care"
Avian myelocytomatosis virus CMII,"No specific medicine compound, supportive care"
Avian retrovirus MH2E21,"No specific medicine compound, supportive care"
Feline leukemia virus FTT,"No specific medicine compound, supportive care"
Sarcoptes scabiei,"Permethrin, Ivermectin, Lindane"
Taenia saginata,"Niclosamide, Praziquantel, Albendazole"
Crotalus oreganus concolor (Western diamondback rattlesnake),"Antivenom (e.g., CroFab)"
Crotalus durissus cumanensis (Tropical rattlesnake),"Antivenom (e.g., CroFab)"
Crotalus oreganus helleri (Southern Pacific rattlesnake),"Antivenom (e.g., CroFab)"
Crotalus durissus ruruima (Rattlesnake),"Antivenom (e.g., CroFab)"
Turkey coronavirus (strain NC95),"No specific medicine compound, supportive care"
Dugbe virus,"Ribavirin, Interferon"
Zaire ebolavirus (strain Gabon-94),"ZMapp, Brincidofovir, Remdesivir"
Sudan ebolavirus (strain Boniface-76),"ZMapp, Brincidofovir, Remdesivir"
Feline coronavirus (strain FIPV WSU-79/1146),"No specific medicine compound, supportive care"
Influenza A virus (various strains),"Oseltamivir, Zanamivir, Amantadine, Rimantadine"
Influenza A virus (strain A/Fowl plague virus/Dobson/'Dutch'/1927 H7N7),"Oseltamivir, Zanamivir, Amantadine, Rimantadine"
Influenza A virus (strain A/Swine/Cambridge/1/1935 H1N1),"Oseltamivir, Zanamivir, Amantadine, Rimantadine"
Influenza A virus (various strains),"Oseltamivir, Zanamivir, Amantadine, Rimantadine"
Avian infectious bronchitis virus,"No specific medicine compound, supportive care"
Impatiens necrotic spot virus,"No specific medicine compound, supportive care"
Lactate dehydrogenase-elevating virus,"No specific medicine compound, supportive care"
Maguari virus,"No specific medicine compound, supportive care"
Measles virus,"No specific medicine compound, supportive care (vaccination available)"
Middle East respiratory syndrome-related coronavirus,"Lopinavir/Ritonavir, Ribavirin, Interferon"
Mumps virus,"No specific medicine compound, supportive care (vaccination available)"
Newcastle disease virus,"No specific medicine compound, supportive care (vaccination available)"
Porcine epidemic diarrhea virus,"No specific medicine compound, supportive care"
Peste-des-petits-ruminants virus,"No specific medicine compound, supportive care (vaccination available)"
Puumala virus,"Ribavirin, Interferon"
Rinderpest virus,"No specific medicine compound, supportive care (vaccination available)"
Sandfly fever sicilian virus,"No specific medicine compound, supportive care"
Tomato spotted wilt virus,"No specific medicine compound, supportive care"
Tomato spotted wilt virus,"No specific medicine compound, supportive care"
Viral hemorrhagic septicemia virus,"No specific medicine compound, supportive care"
White bream virus,"No specific medicine compound, supportive care"
Wheat yellow head virus,"No specific medicine compound, supportive care"
Saccharothrix syringae,"No specific medicine compound, supportive care"
Streptomyces malayensis,"No specific medicine compound, supportive care"
Androctonus mauritanicus (Scorpion venom),"Antivenom (e.g., Scorpion antivenom)"
Tityus trinitatis (Scorpion venom),"Antivenom (e.g., Scorpion antivenom)"
Androctonus crassicauda (Scorpion venom),"Antivenom (e.g., Scorpion antivenom)"
Chaerilus tryznai (Scorpion venom),"Antivenom (e.g., Scorpion antivenom)"
Mesomexovis subcristatus (Scorpion venom),"Antivenom (e.g., Scorpion antivenom)"
Human immunodeficiency virus type 1 group M subtype B,"Antiretroviral therapy (e.g., AZT, 3TC, TDF)"
Simian immunodeficiency virus,"No specific medicine compound, supportive care"
Streptomyces cyanogenus,"No specific medicine compound, supportive care"
Influenza A virus (various strains),"Oseltamivir, Zanamivir, Amantadine, Rimantadine"
Influenza C virus (strain C/Yamagata/1964),"No specific medicine compound, supportive care"
Streptomyces actuosus,"No specific medicine compound, supportive care"
Streptomyces rubradiris,"No specific medicine compound, supportive care"
Cryptococcus neoformans,"Amphotericin B, Fluconazole, Voriconazole"
Mycobacterium sp. (strain JS330),"Isoniazid, Rifampicin, Ethambutol"
Bordetella pertussis,"Erythromycin, Clarithromycin, Azithromycin"
Legionella pneumophila,"Macrolides (e.g., Azithromycin, Clarithromycin), Fluoroquinolones (e.g., Ciprofloxacin, Levofloxacin)"
Influenza A virus (various strains),"Oseltamivir, Zanamivir, Amantadine, Rimantadine"
Influenza B virus (various strains),"Oseltamivir, Zanamivir, Amantadine, Rimantadine"
Avian infectious bronchitis virus,"No specific medicine compound, supportive care"
Bluetongue virus,"No specific medicine compound, supportive care"
Feline enteric coronavirus,"No specific medicine compound, supportive care"
"Rotavirus A, B, C","No specific medicine compound, supportive care (e.g., hydration, rest)"
Rotavirus A,"Rotavirus vaccine (e.g., Rotarix, RotaTeq)"
Rotavirus A (strain RVA/United States/WC3/1981/G6P7[5]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus A (isolate RVA/Human/United States/WI61/1983/G9P1A[8]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus A (strain RVA/Turkey/Ireland/Ty-1/1978/G7P[17]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus A (strain RVA/Cow/United States/NCDV-Lincoln/1969/G6P6[1]),No human treatment available
Rotavirus A (strain RVA/SA11/G9P1A[8]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus A (strain RVA/Human/United States/M/1976/G3P[X]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus C (isolate RVC/Cow/Japan/Shintoku/1991/G2P[3]),No human treatment available
Rotavirus A (strain RVA/Human/Japan/S2/1980/G2P1B[4]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus A (isolate RVA/Cow/India/Hg18/2000/G15P[21]),No human treatment available
Rotavirus A (isolate RVA/Dog/United States/Cu-1/1982/G3P5A[3]),No human treatment available
Rotavirus A (strain RVA/Equine/United States/FI-14/1980/G3P4[12]),No human treatment available
Rotavirus A (isolate RVA/Equine/United States/FI-23/1981/G14P4[12]),No human treatment available
Rotavirus A (isolate RVA/Human/Sweden/1076/1983/G2P2A[6]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus A (strain RVA/Human/United Kingdom/A28/1987/G10P[X]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus A (strain RVA/Human/Australia/RV-4/1977/G1P1A[8]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus A (strain RVA/Human/Australia/RV-5/1981/G2P1B[4]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus A (isolate RVA/Human/Italy/VA70/1975/G4P1A[8]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus A (strain RVA/Human/Japan/KUN/1980/G2P1B[4]),"Rotavirus vaccine, Immunoglobulin"
Rotavirus A (isolate RVA/Mouse/United States/Eb/1982/G16P10[16]),No human treatment available
Rotavirus A (isolate RVA/Cow/United States/VMRI/1988/G6P[5]),No human treatment available
Rotavirus A (strain RVA/Human/Indonesia/B37/XXXX/G8P[X]),"Rotavirus vaccine, Immunoglobulin"
Aspergillus novofumigatus (strain IBT 16806),"Voriconazole, Itraconazole, Amphotericin B"
Varanus sp.,"No specific compound (bites can be treated with antibiotics, antivenom not available)"
Suncus etruscus,"No specific compound (bites can be treated with antibiotics, antivenom not available)"
Anopheles arabiensis (Malaria),"Chloroquine, Artemisinin-based combination therapies (ACTs)"
Atropoides nummifer (Snakebite),Antivenom (Polyvalent Antivenom)
Bothrops asper (Snakebite),Antivenom (Polyvalent Antivenom)
Bothriechis lateralis (Snakebite),Antivenom (Polyvalent Antivenom)
Calloselasma rhodostoma (Snakebite),Antivenom (Polyvalent Antivenom)
Gloydius intermedius (Snakebite),Antivenom (Polyvalent Antivenom)
Hypnale hypnale (Snakebite),Antivenom (Polyvalent Antivenom)
Porthidium ophryomegas (Snakebite),Antivenom (Polyvalent Antivenom)
Protobothrops elegans (Snakebite),Antivenom (Polyvalent Antivenom)
Sistrurus miliarius (Snakebite),Antivenom (Polyvalent Antivenom)
Trimeresurus albolabris (Snakebite),Antivenom (Polyvalent Antivenom)
Trimeresurus cantori (Snakebite),Antivenom (Polyvalent Antivenom)
Tropidolaemus wagleri (Snakebite),Antivenom (Polyvalent Antivenom)
Anopheles quadriannulatus (Malaria),"Chloroquine, Artemisinin-based combination therapies (ACTs)"
Helicobacter pylori (Peptic Ulcer Disease),"Clarithromycin, Amoxicillin, Omeprazole"
Liberibacter asiaticus (Citrus Greening Disease),No specific compound (disease management through integrated pest management)
Pseudomonas sp. (strain NK87) (Pseudomonas infection),"Ciprofloxacin, Gentamicin, Tobramycin"
Conus kintoki (Conus envenoming),No specific compound (symptomatic treatment and supportive care)
Conus abbreviatus (Conus envenoming),No specific compound (symptomatic treatment and supportive care)
Brucella canis (Brucellosis),"Doxycycline, Rifampicin"
Brucella neotomae (Brucellosis),"Doxycycline, Rifampicin"
Brucella ovis (Brucellosis),"Doxycycline, Rifampicin"
Brucella suis (Brucellosis),"Doxycycline, Rifampicin"
Actinobacillus equuli (Actinobacillosis),"Penicillin, Gentamicin"
Actinobacillus lignieresii (Actinobacillosis),"Penicillin, Gentamicin"
Neisseria sicca (Neisseria infection),"Ceftriaxone, Azithromycin"
Rahnella aquatilis (Rahnella infection),"Ciprofloxacin, Gentamicin"
Avibacterium avium (Avibacterium infection,"Doxycycline, Enrofloxacin"
Avibacterium gallinarum (Avibacterium infection),"Doxycycline, Enrofloxacin"
Amblyomma testudinarium (Tick-borne disease),"Doxycycline, Amoxicillin"
Phoneutria nigriventer (Spider bite),No specific compound (symptomatic treatment and supportive care)
Aspergillus flavus (Aspergillosis),"Voriconazole, Amphotericin B"
Helicobacter pylori (Peptic ulcer disease),"Clarithromycin, Amoxicillin, Omeprazole"
Coxsackievirus B3 (Meningitis),No specific compound (supportive care and treatment)
"Human enterovirus 71 (Hand, foot, and mouth disease)",No specific compound (supportive care and treatment)
Poliovirus type 1 (Poliomyelitis),No specific compound (vaccination and supportive care)
Porcine reproductive and respiratory syndrome virus (PRRS),No specific compound (vaccination and supportive care)
Caprine arthritis encephalitis virus (CAE),No specific compound (vaccination and supportive care)
Borrelia burgdorferi (Lyme disease),"Doxycycline, Ceftriaxone"
Mycoplasma capricolum subsp. capripneumoniae (Mycoplasmosis),"Tylosin, Tetracycline"
Streptococcus suis (Streptococcosis),"Penicillin, Ceftriaxone"
Streptococcus ratti (Streptococcosis),"Penicillin, Ceftriaxone"
Neisseria elongata (Neisseria infection),"Ceftriaxone, Azithromycin"
Neisseria flava (Neisseria infection),"Ceftriaxone, Azithromycin"
Neisseria perflava (Neisseria infection),"Ceftriaxone, Azithromycin"
Vibrio sp. (Vibriois),"Doxycycline, Ciprofloxacin"
Agkistrodon contortrix laticinctus (Snakebite),Antivenom (Polyvalent Antivenom)
Bothrops marajoensis (Snakebite),Antivenom (Polyvalent Antivenom)
Bothrops matogrossensis (Snakebite),Antivenom (Polyvalent Antivenom)
Bothrops pictus (Snakebite),Antivenom (Polyvalent Antivenom)
Lachesis muta (Snakebite),Antivenom (Polyvalent Antivenom)
Vipera ammodytes (Snakebite),Antivenom (Polyvalent Antivenom)
Mesomycoplasma hyorhinis (Mycoplasmosis),"Tylosin, Tetracycline"
Listeria grayi (Listeriosis),"Ampicillin, Gentamicin"
Mycoplasmoides pneumoniae (Pneumonia),"Macrolides (e.g. Azithromycin), Fluoroquinolones (e.g. Levofloxacin)"
Acanthophis sp. (Snakebite),Antivenom (Polyvalent Antivenom)
Bothrops brazili (Snakebite),Antivenom (Polyvalent Antivenom)
Vipera renardi (Snakebite),Antivenom (Polyvalent Antivenom)
Bitis nasicornis (Snakebite),Antivenom (Polyvalent Antivenom)
Crotalus horridus (Snakebite),Antivenom (Polyvalent Antivenom)
Trimeresurus puniceus (Snakebite),Antivenom (Polyvalent Antivenom)
Bothrops ammodytoides (Snakebite),Antivenom (Polyvalent Antivenom)
Gloydius ussuriensis (Snakebite),Antivenom (Polyvalent Antivenom)
Lachesis acrochorda (Snakebite),Antivenom (Polyvalent Antivenom)
Macrovipera lebetina transmediterranea (Snakebite),Antivenom (Polyvalent Antivenom)
Trimeresurus borneensis (Snakebite),Antivenom (Polyvalent Antivenom)
Trimeresurus gracilis (Snakebite),Antivenom (Polyvalent Antivenom)
Agkistrodon conanti (Snakebite),Antivenom (Polyvalent Antivenom)
Crotalus basiliscus (Snakebite),Antivenom (Polyvalent Antivenom)
Crotalus scutulatus scutulatus (Snakebite),Antivenom (Polyvalent Antivenom)
Crotalus vegrandis (Snakebite),Antivenom (Polyvalent Antivenom)
Crotalus mitchellii mitchellii (Snakebite),Antivenom (Polyvalent Antivenom)
Sistrurus tergeminus (Snakebite),Antivenom (Polyvalent Antivenom)
Crotalus lepidus lepidus (Snakebite),Antivenom (Polyvalent Antivenom)
Sistrurus miliarius barbouri (Snakebite),Antivenom (Polyvalent Antivenom)
Crotalus oreganus lutosus (Snakebite),Antivenom (Polyvalent Antivenom)
Crotalus tzabcan (Snakebite),Antivenom (Polyvalent Antivenom)
Gloydius saxatilis (Snakebite),Antivenom (Polyvalent Antivenom)
Bitis caudalis (Snakebite),Antivenom (Polyvalent Antivenom)
Bothriechis nigroviridis (Snakebite),Antivenom (Polyvalent Antivenom)
Protobothrops mangshanensis (Snakebite),Antivenom (Polyvalent Antivenom)
Protobothrops tokarensis (Snakebite),Antivenom (Polyvalent Antivenom)
Sistrurus miliarius streckeri (Snakebite),Antivenom (Polyvalent Antivenom)
Vipera ammodytes meridionalis (Snakebite),Antivenom (Polyvalent Antivenom)
Vipera aspis aspis (Snakebite),Antivenom (Polyvalent Antivenom)
Vipera aspis zinnikeri (Snakebite),Antivenom (Polyvalent Antivenom)
Streptococcus criceti (Streptococcosis),"Penicillin, Ceftriaxone"
Finegoldia magna (Finegoldia infection),"Clindamycin, Vancomycin"
Pseudomonas sp. (Pseudomonas infection),"Ciprofloxacin, Gentamicin"
Legionella longbeachae serogroup 1 (Legionellosis),"Azithromycin, Levofloxacin"
Pasteurella aerogenes (Pasteurellosis),"Penicillin, Ceftriaxone"
Influenza A virus (Influenza),"Oseltamivir, Zanamivir"
Influenza C virus (Influenza),No specific compound (supportive care and treatment)
Legionella bozemanae (Legionellosis),"Azithromycin, Levofloxacin"
Plasmodium yoelii (Malaria),"Chloroquine, Artemisinin-based combination therapies (ACTs)"
Treponema porcinum (Treponematosis),"Penicillin, Ceftriaxone"
Clostridium novyi (Gas gangrene),"Penicillin, Metronidazole"
Streptococcus macedonicus (Streptococcosis),"Penicillin, Ceftriaxone"
Entamoeba dispar (Amoebiasis),"Metronidazole, Paromomycin"
Vaccinia virus (Vaccinia),No specific compound (vaccination and supportive care)
Clostridium haemolyticum (Gas gangrene),"Penicillin, Metronidazole"
Salmonella typhimurium (Salmonellosis),"Ciprofloxacin, Ceftriaxone"
Mumps virus (Mumps),No specific compound (vaccination and supportive care)
Newcastle disease virus (Newcastle disease),No specific compound (vaccination and supportive care)
Rabies virus (Rabies),No specific compound (vaccination and supportive care)
Pseudomonas aeruginosa (Pseudomonas infection),"Ciprofloxacin, Gentamicin"
Corynebacterium pseudotuberculosis,"Dapsone, Rifampicin"
Corynebacterium ulcerans,"Dapsone, Rifampicin"
Moraxella lacunata,"Amoxicillin, Ceftriaxone"
Pseudocercospora fijiensis,"Azoxystrobin, Chlorothalonil"
Pseudomonas amygdali pv. lachrymans,"Ciprofloxacin, Gentamicin"
Xanthomonas campestris pv. malvacearum,"Copper oxychloride, Mancozeb"
Lancefieldella rimae,"Amoxicillin, Ceftriaxone"
Alkhumra hemorrhagic fever virus,"Ribavirin, Interferon alfa"
Aichi virus,"No specific treatment, supportive care"
Banzi virus,"No specific treatment, supportive care"
Coxsackievirus A16,"No specific treatment, supportive care"
Coxsackievirus A21,"No specific treatment, supportive care"
Coxsackievirus A24,"No specific treatment, supportive care"
Coxsackievirus B1,"No specific treatment, supportive care"
Coxsackievirus A9,"No specific treatment, supportive care"
Coxsackievirus B3,"No specific treatment, supportive care"
Coxsackievirus B4,"No specific treatment, supportive care"
Coxsackievirus B5,"No specific treatment, supportive care"
Coxsackievirus B6,"No specific treatment, supportive care"
Dengue virus type 1,"No specific treatment, supportive care"
Dengue virus type 2,"No specific treatment, supportive care"
Dengue virus type 3,"No specific treatment, supportive care"
Dengue virus type 4,"No specific treatment, supportive care"
Echovirus 1,"No specific treatment, supportive care"
Echovirus 5,"No specific treatment, supportive care"
Echovirus 6,"No specific treatment, supportive care"
Echovirus 9,"No specific treatment, supportive care"
Echovirus 11,"No specific treatment, supportive care"
Echovirus 12,"No specific treatment, supportive care"
Echovirus 16,"No specific treatment, supportive care"
Echovirus 30,"No specific treatment, supportive care"
Echo 9 virus,"No specific treatment, supportive care"
Encephalomyocarditis virus,"No specific treatment, supportive care"
Feline calicivirus,"No treatment, supportive care (not typically treated in humans)"
Hepatitis A virus,"Ribavirin, Interferon alfa"
Hepatitis C virus,"Sofosbuvir, Ledipasvir, Daclatasvir"
Hepatitis C virus,"Sofosbuvir, Ledipasvir, Daclatasvir"
Human enterovirus 70,"No specific treatment, supportive care"
Human enterovirus 71,"No specific treatment, supportive care"
Human enterovirus D68,"No specific treatment, supportive care"
Human klassevirus 1,"No specific treatment, supportive care"
Human parechovirus 1,"No specific treatment, supportive care"
Human parechovirus 2,"No specific treatment, supportive care"
Human parechovirus 5,"No specific treatment, supportive care"
Human rhinovirus 14,"No specific treatment, supportive care"
Human rhinovirus C,"No specific treatment, supportive care"
"Human rhinovirus 16"": ""No specific treatment, supportive care"",",
Human rhinovirus 1A,"No specific treatment, supportive care"
Human rhinovirus 1B,"No specific treatment, supportive care"
Human rhinovirus 2,"No specific treatment, supportive care"
Human rhinovirus 3,"No specific treatment, supportive care"
Japanese encephalitis virus,"Vaccination, supportive care"
Kyasanur forest disease virus,"Vaccination, supportive care"
Kunjin virus,"No specific treatment, supportive care"
Langat virus,"No specific treatment, supportive care"
Louping ill virus,"No specific treatment, supportive care"
Ljunganvirus 1,"No specific treatment, supportive care"
Murray valley encephalitis virus,"No specific treatment, supportive care"
Poliovirus type 1,"Vaccination, supportive care"
Poliovirus type 2,"Vaccination, supportive care"
Poliovirus type 3,"Vaccination, supportive care"
Tick-borne powassan virus,"No specific treatment, supportive care"
Rabbit hemorrhagic disease virus,"No specific treatment, supportive care"
Rocio virus,"No specific treatment, supportive care"
St. Louis encephalitis virus,"No specific treatment, supportive care"
Tick-borne encephalitis virus,"Vaccination, supportive care"
Sapporo virus,"No specific treatment, supportive care"
Usutu virus,"No specific treatment, supportive care"
West Nile virus,"No specific treatment, supportive care"
Wesselsbron virus,"No specific treatment, supportive care"
Yellow fever virus,"Vaccination, supportive care"
Zika virus,"No specific treatment, supportive care"
Chikungunya virus,"No specific treatment, supportive care"
Eastern equine encephalitis virus,"No specific treatment, supportive care"
Venezuelan equine encephalitis virus,"No specific treatment, supportive care"
Getah virus,"No specific treatment, supportive care"
Mayaro virus,"No specific treatment, supportive care"
Middelburg virus,"No specific treatment, supportive care"
Ross river virus,"No specific treatment, supportive care"
Rubella virus,"Vaccination, supportive care"
Rubella virus,"Vaccination, supportive care"
Sagiyama virus,"No specific treatment, supportive care"
Semliki forest virus,"No specific treatment, supportive care"
Sindbis virus,"No specific treatment, supportive care"
Western equine encephalitis virus,"No specific treatment, supportive care"
Chikungunya virus,"No specific treatment, supportive care"
Eastern equine encephalitis virus,"No specific treatment, supportive care"
Venezuelan equine encephalitis virus,"No specific treatment, supportive care"
Ross river virus,"No specific treatment, supportive care"
Simian immunodeficiency virus,"No specific treatment, supportive care (Note: This is a virus that affects non-human primates, but can be used as a model for HIV research)"
Human adenovirus D serotype 17,"No specific treatment, supportive care"
Serratia marcescens,Antibiotics such as ciprofloxacin or gentamicin
Renibacterium salmoninarum,Antibiotics such as erythromycin or tetracycline
Karenia brevis,"No specific treatment, supportive care"
Psilocybe cyanescens,"No specific treatment, supportive care (Note: This is a hallucinogenic mushroom and can cause adverse effects, but treatment is typically supportive care)"
Aspergillus ruber,Antifungal medications such as amphotericin B or voriconazole
Pseudomonas plecoglossicida,"Ciprofloxacin, Gentamicin"
Parascaris univalens,"Albendazole, Mebendazole"
Kocuria rosea,"Vancomycin, Linezolid"
Acidilobus saccharovorans,No cure exists
Thermosphaera aggregans,No cure exists
Vulcanisaeta distributa,No cure exists
Pomacea canaliculata,No cure exists
Pomacea maculata,No cure exists
Gongylus gongylodes,No cure exists
Mantis religiosa,No cure exists
Phymateus morbillosus,No cure exists
Agrotis segetum nuclear polyhedrosis virus,No cure exists
Mamestra brassicae nuclear polyhedrosis virus,No cure exists
Malacosoma neustria nuclear polyhedrosis virus,No cure exists
Panolis flammea multiple nucleocapsid polyhedrosis virus,No cure exists
Spodoptera frugiperda nuclear polyhedrosis virus,No cure exists
Spodoptera littoralis nuclear polyhedrosis virus,No cure exists
Rhodothalassium salexigens,No cure exists
Flavobacterium lutescens,"Ciprofloxacin, Gentamicin"
Aspergillus violaceofuscus,"Voriconazole, Itraconazole"
Bacillus pumilus,"Ciprofloxacin, Gentamicin"
Staphylococcus saprophyticus,"Ciprofloxacin, Gentamicin"
Francisella cf. novicida,"Ciprofloxacin, Gentamicin"
Lactococcus garvieae,"Ciprofloxacin, Gentamicin"
Aurantimonas manganoxydans,No cure exists (but can be treated with antibiotics such as Ciprofloxacin or Gentamicin in some cases)
Digitalis purpurea,"Digoxin (used to treat heart conditions, but can be toxic in large quantities)"
Lupinus,"Lupin alkaloids can be toxic, no specific antidote, but supportive care can be provided"
Nicandra physalodes,Atropine (used to treat poisoning caused by the plant's toxic compounds)
Strychnos nux-vomica,Physostigmine (used to treat strychnine poisoning)
African horse sickness virus,"No cure exists, but supportive care can be provided"
Blueberry scorch virus,"No cure exists, but supportive care can be provided"
Bluetongue virus,"No cure exists, but supportive care can be provided"
Colorado tick fever virus,"No cure exists, but supportive care can be provided"
Cucumber mosaic virus,"No cure exists, but supportive care can be provided"
Influenza A virus,"Oseltamivir (Tamiflu), Zanamivir (Relenza)"
Greasy grouper nervous necrosis virus,"No cure exists, but supportive care can be provided"
Helicobacter pylori,"Clarithromycin, Amoxicillin, Metronidazole"
Staphylococcus aureus,"Methicillin, Vancomycin, Linezolid"
Simian immunodeficiency virus,"No cure exists, but antiretroviral therapy can be used to manage symptoms"
Salmonella,"Ciprofloxacin, Azithromycin, Ceftriaxone"
Toxocara canis,"Albendazole, Mebendazole"
